"","Sample.ID","Database.Schema.Definitions.Url","Latitude","Longitude","LandUse","LanduseID"
"1","SampleID.102.100.100.10714","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-34.0597,140.6958,"1 Conservation and natural environments",1
"2","SampleID.102.100.100.10716","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-34.05624,140.7354,"1 Conservation and natural environments",1
"3","SampleID.102.100.100.10718","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-34.03715,140.7064,"1 Conservation and natural environments",1
"4","SampleID.102.100.100.10720","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-33.9556,140.719,"1 Conservation and natural environments",1
"5","SampleID.102.100.100.12424","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-42.1074,148.3395,"1 Conservation and natural environments",1
"6","SampleID.102.100.100.12426","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-42.106246,148.340808,"1 Conservation and natural environments",1
"7","SampleID.102.100.100.12428","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-42.105769,148.336683,"1 Conservation and natural environments",1
"8","SampleID.102.100.100.12430","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-42.1685,148.2641,"1 Conservation and natural environments",1
"9","SampleID.102.100.100.12434","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-42.173,148.2851,"1 Conservation and natural environments",1
"10","SampleID.102.100.100.12436","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-42.0585,148.3002,"1 Conservation and natural environments",1
"11","SampleID.102.100.100.12438","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-42.0578,148.3021,"1 Conservation and natural environments",1
"12","SampleID.102.100.100.12440","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-42.0233,148.2828,"1 Conservation and natural environments",1
"13","SampleID.102.100.100.12444","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-42.6831,146.6099,"1 Conservation and natural environments",1
"14","SampleID.102.100.100.12446","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-42.6735,146.625,"1 Conservation and natural environments",1
"15","SampleID.102.100.100.12447","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-42.6793,146.6711,"1 Conservation and natural environments",1
